"N" "K_means" "K_sd" "lambda_means" "lambda_sd" "c_means" "c_sd" "fitness_means" "fitness_sd" "r"
"1" 1000 950 0 1.5 0 -2 0 0.836429646813316 0 1.05263157894737
"2" 851 949.9994924832 0.00738954076905708 1.49965603263763 0.00500822997055389 -2.00041967137979 0.006110494808424 1.26502159460378 0.000706945547191895 0.895789952240474
"3" 1052 949.999271685544 0.00730928324505984 1.49861879807222 0.0131995277885269 -2.00059815558938 0.00601707509165838 0.665699286391761 0.00357445009340067 1.10736927001373
"4" 708 949.998777530844 0.0095485832119442 1.49903099946708 0.00921996613033211 -2.00234680884411 0.0175803671544455 1.44800253636421 0.00664172923616151 0.745264116907785
"5" 1016 949.999250177133 0.00879017271948156 1.50038542025362 0.00974890038850463 -2.00391998272354 0.0232891752804014 0.782938326023073 0.00184931355744444 1.06947452833311
"6" 823 949.999287962019 0.00965215348308736 1.5006544670491 0.0111812640395615 -2.00571283713653 0.0295905346462164 1.31931405593146 0.0043382620256866 0.866316438789692
"7" 1041 949.998533143323 0.010863089765558 1.50030933766628 0.0105039538360398 -2.00533037170888 0.0309736378426771 0.700732880185661 0.00334122162307934 1.09579116565115
"8" 706 949.996337640275 0.0184096024266576 1.49915978019694 0.0118701779395999 -2.00391906277543 0.037281678036283 1.44939667273943 0.00893413328511147 0.743160759707406
"9" 991 949.996201206182 0.0193909933174388 1.49789346493942 0.0176164434828993 -2.00427927831085 0.039962965239459 0.866081350581809 0.00181515449593288 1.04316206606064
"10" 897 949.995167816229 0.0213617474709016 1.49927665920495 0.0230598037918974 -2.00492135911469 0.0419276757651912 1.15552459442219 0.00270956501165221 0.944215329075778
"11" 1056 949.99563989587 0.0208041655956049 1.50051513918678 0.026177811735935 -2.00394797661981 0.0431699854643786 0.652853956130919 0.00554941742830292 1.111584049076
"12" 680 949.996050177131 0.0188217207294186 1.50015951928235 0.0217481980894547 -2.00355245254796 0.0413288989966116 1.46395872344542 0.0167111053870163 0.715792449740408
"13" 990 949.996791876179 0.0180486816846154 1.50058321648538 0.0249939602312304 -2.00578226086448 0.0437206042322566 0.869415321807684 0.00189037375699779 1.04210878233054
"14" 812 949.998366143825 0.0145321058999888 1.49936137599521 0.0332399530825241 -2.00354020293404 0.0388667839762381 1.33679526963612 0.0129965952274128 0.854738312125758
"15" 1081 949.996630991395 0.0191242267520141 1.49807553439657 0.0369757073421567 -2.00502326621165 0.0450913835226268 0.575230832693501 0.010978945565592 1.1378987722008
"16" 658 949.997574965979 0.0167332718568666 1.49659749667066 0.0396729208459901 -2.00209656675475 0.0432133909370878 1.46976566341256 0.0335869774801055 0.692633347009927
"17" 1031 949.997542147772 0.0160157765979491 1.49519546031066 0.0445072205769234 -2.00378613986466 0.044589413353859 0.732309377792124 0.00715616813123087 1.08526596570881
"18" 742 949.996012219298 0.020636097313848 1.4940743132578 0.0451321411462493 -2.00309083678085 0.0471172414763935 1.41882204748863 0.0295677793087836 0.781055910189143
"19" 1032 949.99631419672 0.0199593723191455 1.49455881693015 0.043873848299479 -2.00073191470499 0.0439724295925101 0.729176221745241 0.00806939392982393 1.08632000417035
"20" 759 949.996528137606 0.0181183975853108 1.49342021909191 0.046884094231045 -2.00292299061289 0.0467045737063134 1.40234248600125 0.0277811025692201 0.79895028825838
"21" 847 950.000876502103 0.00846272523285614 1.49902113284117 0.00945107123005591 -1.99942489319847 0.00555272009810197 1.27309506911839 0.00246002168221422 0.891578124768315
"22" 1095 950.001120327868 0.0103356789190999 1.49767723658626 0.0141150791754637 -1.99881864012819 0.00739927443669166 0.536037112857369 0.00327635069106381 1.1526302196592
"23" 586 950.000787887356 0.00909853513859597 1.4984288585698 0.0136994643112033 -1.99780480834867 0.0140921519238667 1.48885389039531 0.0127609685741127 0.616841593682429
"24" 884 950.001064855668 0.00920498086630364 1.49892734969406 0.0128320480021441 -1.99685071499305 0.0190781641950013 1.18874330912675 0.00163639411661798 0.930525272763042
"25" 1094 950.001753628515 0.0114187265459476 1.49874538584758 0.0135438496264395 -1.99639226488975 0.0212425466469929 0.539519036768148 0.00478981252360155 1.15157682164426
"26" 596 950.000793807852 0.0155028236803232 1.49908983961407 0.0132979310587477 -2.00110326028196 0.0397908828740029 1.48793203033449 0.0122688498961611 0.627367896832039
"27" 927 950.001739535939 0.017161336396132 1.49840794315819 0.014920395591276 -1.99926116386071 0.0417337631232011 1.07060799862149 0.000956674261636282 0.975787686928684
"28" 932 950.001613293385 0.0167918825209434 1.49901734853285 0.014139802807296 -1.99938744963684 0.0358920210950793 1.05563729590655 0.000635454809130193 0.981050965554702
"29" 925 950.001012560933 0.0149019992164082 1.49958782569166 0.0123193913600712 -1.99943160631093 0.0362137435249779 1.0765535458375 0.000884756111371449 0.973683172722588
"30" 998 950.000023521497 0.0134967433250346 1.49999910267843 0.0103705793633603 -1.99782114721087 0.0521912473607133 0.843194819328775 0.00291567490394 1.050526289779
"31" 893 950.001089087565 0.0150914385473438 1.50144051879779 0.020679100973106 -1.99788740061629 0.0404325007519058 1.16590338660405 0.00209802638953469 0.93999892237775
"32" 1102 950.001353989045 0.01488709834647 1.501292414551 0.0219261351565913 -1.99696842753311 0.0369274954475218 0.517576229079397 0.00757778558582482 1.15999834671047
"33" 596 950.000733762203 0.0149866042531819 1.50192699051538 0.0249250390854796 -1.99994899202723 0.033641200805039 1.49036084893469 0.0212363101505887 0.62736793648539
"34" 892 950.000705894357 0.0143172137167734 1.5015785600936 0.0232425371272329 -1.99963729841597 0.0306479659595221 1.1686045994141 0.00183884373892579 0.938946670739836
"35" 1094 949.999836445536 0.0149538792582274 1.49963723637699 0.030548915172105 -1.99832967061605 0.0348604327462684 0.539092708458655 0.00797837805094154 1.15157914562727
"36" 588 950.000350567159 0.0162939314489712 1.49924605470527 0.0301906698658118 -1.99882668415843 0.033771352366829 1.48916441673849 0.027179042283252 0.618947140018378
"37" 904 950.000615872868 0.0160976151485239 1.49830694902448 0.0338373769567179 -1.99726888355841 0.0378066109934333 1.13621553443362 0.00261494087335497 0.951578330472341
